Timestamp: 9976 Accel X:-0.50 Accel Y:0.58 Accel Z:9.78
Timestamp: 10076 Accel X:-0.48 Accel Y:0.56 Accel Z:9.82
Timestamp: 10176 Accel X:-0.47 Accel Y:0.55 Accel Z:9.81
Timestamp: 10276 Accel X:-0.48 Accel Y:0.56 Accel Z:9.82
Timestamp: 10376 Accel X:-0.49 Accel Y:0.59 Accel Z:9.82
Timestamp: 10476 Accel X:-0.48 Accel Y:0.58 Accel Z:9.82
Timestamp: 10576 Accel X:-0.46 Accel Y:0.57 Accel Z:9.85
Timestamp: 10676 Accel X:-0.48 Accel Y:0.55 Accel Z:9.85
Timestamp: 10776 Accel X:-0.48 Accel Y:0.58 Accel Z:9.82
Timestamp: 10876 Accel X:-0.45 Accel Y:0.58 Accel Z:9.82
Timestamp: 10976 Accel X:-0.47 Accel Y:0.58 Accel Z:9.84
Timestamp: 11076 Accel X:-0.48 Accel Y:0.59 Accel Z:9.82
Timestamp: 11176 Accel X:-0.48 Accel Y:0.57 Accel Z:9.82
Timestamp: 11276 Accel X:-0.48 Accel Y:0.55 Accel Z:9.83
Timestamp: 11376 Accel X:-0.45 Accel Y:0.55 Accel Z:9.81
Timestamp: 11477 Accel X:-0.47 Accel Y:0.59 Accel Z:9.85
Timestamp: 11577 Accel X:-0.47 Accel Y:0.54 Accel Z:9.83
Timestamp: 11678 Accel X:-0.45 Accel Y:0.57 Accel Z:9.85
Timestamp: 11778 Accel X:-0.48 Accel Y:0.56 Accel Z:9.82
Timestamp: 11878 Accel X:-0.48 Accel Y:0.62 Accel Z:9.86
Timestamp: 11978 Accel X:-0.46 Accel Y:0.57 Accel Z:9.82
Timestamp: 12078 Accel X:-0.48 Accel Y:0.58 Accel Z:9.81
Timestamp: 12178 Accel X:-0.50 Accel Y:0.57 Accel Z:9.86
Timestamp: 12278 Accel X:-0.48 Accel Y:0.60 Accel Z:9.82
Timestamp: 12378 Accel X:-0.47 Accel Y:0.56 Accel Z:9.85
Timestamp: 12478 Accel X:-0.50 Accel Y:0.58 Accel Z:9.84
Timestamp: 12578 Accel X:-0.49 Accel Y:0.56 Accel Z:9.83
Timestamp: 12678 Accel X:-0.47 Accel Y:0.55 Accel Z:9.83
Timestamp: 12778 Accel X:-0.48 Accel Y:0.59 Accel Z:9.85
Timestamp: 12878 Accel X:-0.48 Accel Y:0.58 Accel Z:9.84
Timestamp: 12978 Accel X:-0.45 Accel Y:0.55 Accel Z:9.85
Timestamp: 13078 Accel X:-0.49 Accel Y:0.59 Accel Z:9.81
Timestamp: 13178 Accel X:-0.47 Accel Y:0.57 Accel Z:9.83
Timestamp: 13278 Accel X:-0.46 Accel Y:0.56 Accel Z:9.86
Timestamp: 13378 Accel X:-0.45 Accel Y:0.59 Accel Z:9.87
Timestamp: 13478 Accel X:-0.45 Accel Y:0.56 Accel Z:9.83
Timestamp: 13578 Accel X:-0.46 Accel Y:0.58 Accel Z:9.83
Timestamp: 13678 Accel X:-0.48 Accel Y:0.59 Accel Z:9.81
Timestamp: 13778 Accel X:-0.44 Accel Y:0.56 Accel Z:9.85
Timestamp: 13878 Accel X:-0.49 Accel Y:0.57 Accel Z:9.83
Timestamp: 13978 Accel X:-0.46 Accel Y:0.56 Accel Z:9.83
Timestamp: 14078 Accel X:-0.49 Accel Y:0.57 Accel Z:9.85
Timestamp: 14178 Accel X:-0.48 Accel Y:0.58 Accel Z:9.81
Timestamp: 14278 Accel X:-0.50 Accel Y:0.57 Accel Z:9.86
Timestamp: 14378 Accel X:-0.47 Accel Y:0.58 Accel Z:9.82
Timestamp: 14478 Accel X:-0.48 Accel Y:0.57 Accel Z:9.82
Timestamp: 14578 Accel X:-0.49 Accel Y:0.53 Accel Z:9.84
Timestamp: 14678 Accel X:-0.47 Accel Y:0.58 Accel Z:9.84
Timestamp: 14778 Accel X:-0.48 Accel Y:0.56 Accel Z:9.82
Timestamp: 14878 Accel X:-0.45 Accel Y:0.56 Accel Z:9.84
Timestamp: 14978 Accel X:-0.45 Accel Y:0.59 Accel Z:9.82
Timestamp: 15078 Accel X:-0.47 Accel Y:0.59 Accel Z:9.80
Timestamp: 15178 Accel X:-0.49 Accel Y:0.59 Accel Z:9.84
Timestamp: 15278 Accel X:-0.45 Accel Y:0.58 Accel Z:9.86
Timestamp: 15378 Accel X:-0.48 Accel Y:0.58 Accel Z:9.81
Timestamp: 15478 Accel X:-0.49 Accel Y:0.58 Accel Z:9.82
Timestamp: 15578 Accel X:-0.49 Accel Y:0.59 Accel Z:9.83
Timestamp: 15678 Accel X:-0.46 Accel Y:0.55 Accel Z:9.86
Timestamp: 15778 Accel X:-0.50 Accel Y:0.57 Accel Z:9.85
Timestamp: 15878 Accel X:-0.48 Accel Y:0.55 Accel Z:9.83
Timestamp: 15978 Accel X:-0.46 Accel Y:0.60 Accel Z:9.82
Timestamp: 16078 Accel X:-0.47 Accel Y:0.59 Accel Z:9.87
Timestamp: 16178 Accel X:-0.46 Accel Y:0.53 Accel Z:9.82
Timestamp: 16278 Accel X:-0.48 Accel Y:0.54 Accel Z:9.86
Timestamp: 16378 Accel X:-0.50 Accel Y:0.54 Accel Z:9.80
Timestamp: 16478 Accel X:-0.46 Accel Y:0.57 Accel Z:9.83
Timestamp: 16578 Accel X:-0.48 Accel Y:0.57 Accel Z:9.83
Timestamp: 16678 Accel X:-0.45 Accel Y:0.59 Accel Z:9.84
Timestamp: 16778 Accel X:-0.45 Accel Y:0.57 Accel Z:9.84
Timestamp: 16878 Accel X:-0.46 Accel Y:0.56 Accel Z:9.85
Timestamp: 16978 Accel X:-0.46 Accel Y:0.58 Accel Z:9.82
Timestamp: 17078 Accel X:-0.48 Accel Y:0.55 Accel Z:9.88
Timestamp: 17178 Accel X:-0.47 Accel Y:0.60 Accel Z:9.83
Timestamp: 17278 Accel X:-0.51 Accel Y:0.57 Accel Z:9.84
Timestamp: 17378 Accel X:-0.46 Accel Y:0.62 Accel Z:9.83
Timestamp: 17478 Accel X:-0.43 Accel Y:0.61 Accel Z:9.84
Timestamp: 17578 Accel X:-0.49 Accel Y:0.57 Accel Z:9.81
Timestamp: 17678 Accel X:-0.46 Accel Y:0.57 Accel Z:9.86
Timestamp: 17778 Accel X:-0.46 Accel Y:0.55 Accel Z:9.87
Timestamp: 17878 Accel X:-0.47 Accel Y:0.58 Accel Z:9.82
Timestamp: 17978 Accel X:-0.51 Accel Y:0.57 Accel Z:9.83
Timestamp: 18078 Accel X:-0.47 Accel Y:0.56 Accel Z:9.83
Timestamp: 18178 Accel X:-0.50 Accel Y:0.59 Accel Z:9.83
Timestamp: 18278 Accel X:-0.46 Accel Y:0.59 Accel Z:9.85
Timestamp: 18378 Accel X:-0.49 Accel Y:0.57 Accel Z:9.81
Timestamp: 18478 Accel X:-0.44 Accel Y:0.62 Accel Z:9.84
Timestamp: 18578 Accel X:-0.46 Accel Y:0.57 Accel Z:9.83
Timestamp: 18678 Accel X:-0.49 Accel Y:0.59 Accel Z:9.82
Timestamp: 18778 Accel X:-0.49 Accel Y:0.57 Accel Z:9.83
Timestamp: 18879 Accel X:-0.48 Accel Y:0.57 Accel Z:9.86
Timestamp: 18979 Accel X:-0.48 Accel Y:0.57 Accel Z:9.83
Timestamp: 19083 Accel X:-0.47 Accel Y:0.58 Accel Z:9.82
Timestamp: 19184 Accel X:-0.53 Accel Y:0.52 Accel Z:9.94
Timestamp: 19284 Accel X:-0.46 Accel Y:0.57 Accel Z:9.85
Timestamp: 19384 Accel X:-0.49 Accel Y:0.59 Accel Z:9.82
Timestamp: 19484 Accel X:-0.49 Accel Y:0.57 Accel Z:9.84
Timestamp: 19584 Accel X:-0.49 Accel Y:0.57 Accel Z:9.81
Timestamp: 19684 Accel X:-0.47 Accel Y:0.56 Accel Z:9.86
Timestamp: 19784 Accel X:-0.46 Accel Y:0.59 Accel Z:9.82
Timestamp: 19884 Accel X:-0.45 Accel Y:0.55 Accel Z:9.84
Timestamp: 19984 Accel X:-0.46 Accel Y:0.57 Accel Z:9.85
Timestamp: 20084 Accel X:-0.51 Accel Y:0.55 Accel Z:9.82
